"df_cciindia.text","df_cciindia.created"
"@CCI_India finds no Appreciable Adverse Effect on Competition in respect of Tata Steel' s proposed aqusition of 100… https://t.co/RyxbUxjv6r",2018-08-08 13:48:37
"@CCI_India approves proposed acquisition of Flipkart Private Limited by Wal-Mart International Holdings, Inc",2018-08-08 13:43:39
".@CCI_India approves acquisition of ~21% stake in each RR Kabel and Ram Ratna Electricals by TPG Asia",2018-08-07 09:33:29
"@CCI_India approves acquisition of 51.8% stake by P&amp;G in consumer health business of Merck Limited",2018-08-07 09:32:44
"@CCI_India approves acquisition of 566,500 equity shares of IIFL Wealth Management Ltd by General Atlantic Singapor… https://t.co/uRGF68rYzU",2018-07-31 05:16:19
"@CCI_India invites comment on proposal for amendment to Combination Regulations - The last date for submission of c… https://t.co/YwTmoRHrHJ",2018-07-25 10:04:21
"@CCI_India approves acquisition of 26% stake by Carmel Point Investment from Legal &amp; General Middle East, in India First Life Insurance Co",2018-07-19 11:34:11
"@CCI_India approves the proposed combination involving merger of Indus Tower with, and into, Bharti Infratel.",2018-07-12 13:02:07
"@CCI_India approves acquisition of Vishal Mega Mart and Airplaza Retail Holdings by Rishanth Wholesale Trading, Ked… https://t.co/KXh2zpQTsY",2018-07-12 13:01:26
"@CCI_India issues order against All India Chess Federation (AICF) for abuse of dominant position and imposition of… https://t.co/ccr9KOXngh",2018-07-12 12:54:56
"@CCI_India issues order against South Asia LPG Company Pvt Ltd for its abuse of dominant position in terminalling s… https://t.co/wzvjHoM90n",2018-07-11 12:50:37
"In the case of bid rigging in Tenders by sports broadcasters @CCI_India imposes penalty of Rs 22.36 Cr on Planetcas… https://t.co/SPdM4CYlvU",2018-07-11 12:17:11
"@CCI_India has launched Do It Yourself (DIY) an online interactive application for determining notifiability of M&amp;A… https://t.co/1v6A0cDtlQ",2018-07-04 12:44:18
"@CCI_India decides two more Lesser Penalty cases relating to tenders of Pune Municipal Corporation",2018-06-01 12:37:50
".@CCI_India approves the proposed combination involving Unilever PLC and Unilever NV",2018-06-01 12:34:48
"@CCI_India approves acquisition of 21.3% stake in UST Holdings Limited by MacRitchie Investments Pte. Ltd.\"",2018-05-30 16:51:57
"@CCI_India  invites comments/objections from public / stakeholders in relation to merger of Linde and Praxair; for… https://t.co/vQ7F2haIAK",2018-05-26 05:07:19
".@CCI_India approves acquisition of Monsanto by Bayer AG, subject to compliance of certain modifications",2018-05-22 11:20:44
"@CCI_India celebrates 9th Annual Day. Comptroller and Auditor General Mr Rajiv Mehrishi delivers Annual day speech",2018-05-20 16:12:48
"\"@CCI_India finds no Appreciable Adverse Effect on Competition (AAEC)  in respect of proposed acquisition of Electrosteel Steels by Vedanta",2018-05-14 12:41:29
"@CCI_India approves acquisition of 75% of share capital of Monnet Ispat by consortium of AION Investment Private II Ltd. and JSW Steel Ltd",2018-05-14 12:40:36
"@CCI_India approves acquisition by Beige Limited and Link Investment Trust of approximately 10% of the equity share… https://t.co/jB8s4osQQF",2018-05-10 11:34:53
"@CCI_India approves acquisition of additional 6% stake in Bangalore International Airport by FIH Mauritius from Siemens Project Ventures.",2018-05-07 13:52:47
"@CCI_India finds no Appreciable Adverse Effect on Competition (AAEC) in respect of Tata Steel Limited’s proposed ac… https://t.co/peZlZmf4o5",2018-04-26 11:46:30
".@CCI_India approves acquisition of digital businesses and IT Services of KPIT by Birlasoft",2018-04-09 01:34:19
"@CCI_India finds no Appreciable Adverse Effect on Competition (AAEC) in respect of UltraTech Cement’s proposed acqu… https://t.co/I1RdLeU1Of",2018-03-28 10:49:05
". @CCI_India successfully concludes  #ICN2018Delhi Annual Conference. Attended by over 500 delegates from 75 countr… https://t.co/Z0KV1Ka0KD",2018-03-23 17:31:15
"Advisor .@CCI_India Sh Manoj Pandey moderated the session on\" Toolbox of an Efficient Cartel Hunter\" #ICN2018Delhi",2018-03-23 07:12:49
"Member .@CCI_India Sh. Augustine Peter, spoke in the session on UCWG Plenary “Online Markets and Vertical Restraint… https://t.co/vhAv1wrgcI",2018-03-23 06:36:25
"Advisor @CCI_India Ms. Sibani Swain, spoke on the MWG BOS 4 “Efficient &amp; Effective Merger Investigative Process” #ICN2018Delhi",2018-03-23 06:35:42
"Advisor .@CCI_India Mr. P.K.Singh spoke on the CWG BOS 1 “International cooperation of enforcers: Is there a need t… https://t.co/xzH4GLNk33",2018-03-23 06:29:44
"Advisor .@CCI_India Ms. Payal Malik spoke on the AEWG BOS 2 “Integrating Economics in Case Assessment Lessons Learn… https://t.co/0AQ1OCWANa",2018-03-23 06:28:12
"Secretary .@CCI_India Ms. Smita Jhingran spoke on the AEWG BOS 1 “Agency and Organisational Design for Effective Enforcement” #ICN2018Delhi",2018-03-23 06:27:04
".@CCI_India Member Shri Sudhir Mital speaks in the Plenary during #ICN2018Delhi in the session on \"Advocacy for Goo… https://t.co/SK9gUZyb7W",2018-03-21 08:51:47
"@CCI_India Chairperson Shri D K Sikri presents ICN Special Project report on Cartel Enforcement and Competition in #ICN2018Delhi plenary",2018-03-21 08:48:16
"#ICN2018Delhi begins. Minister of State for Law &amp; Justice and Corporate Affairs Shri P P Chaudhary inaugrates the c… https://t.co/0w6sdcCUwA",2018-03-21 08:37:43
".@CCI_India  approves acquisition of Raj Petro by Brenntag",2018-03-16 15:33:47
".@CCI_India announces #ICN2018Delhi conference. Curtain raiser held today before members of the press. Conference… https://t.co/qo8TBR9XgF",2018-03-16 15:31:14
"@CCI_India approves proposed acquisition of entire share capital of GKN by Melrose",2018-03-15 11:48:34
"One week to go for #ICN2018Delhi . Event begins 21 March 2018. Hosted by @CCI_India",2018-03-14 08:30:54
".@CCI_India approves acquisition of RCOM's towers, optic fiber cable, right to use spectrum and media convergence nodes by RJIO",2018-03-09 10:06:55
"In its first IBC,2016 filing, @CCI_India finds no AAEC in respect of Rajputana Properties' proposed acquisition of… https://t.co/YZofeelwMi",2018-03-07 12:49:23
".@CCI_India approves formation of joint venture between Reliance Aerostructure Ltd. and Thales India Private ltd",2018-02-28 11:31:23
".@CCI_India approves acquisition of additional equity stake in Shree Renuka Sugars by Wilmar Sugar",2018-02-28 11:31:07
"“@CCI_India approves acquisition of Signode Industrial Group Holdings by Crown Holdings",2018-02-12 12:52:56
"@CCI_India issues order against Google for search bias, imposes penalty of Rs.135.86 crore . Detailed order on its… https://t.co/tRAQySwB9S",2018-02-08 14:17:15
"CCI invites comments/objections from public / stakeholders in relation to acquisition of Monsanto by Bayer; for det… https://t.co/tcpuEnrLki",2018-01-08 09:14:09
"Chairperson Mr D K Sikri @CCI_India and Adviser Ms Payal Malik participating in @OECD Competition Committee meeting… https://t.co/0PR3JXXuOB",2017-12-05 08:42:51
"@CCI_India imposes Rs 52.24 cr  penalty on BCCI for Abuse of Dominance",2017-11-29 11:31:41
